Country,#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd
Switzerland,47,The Sound of Silence - CYRIL Remix,Disturbed,2024-02-02,126,72,68,-4,24,3:05,12,59,43,40
Switzerland,48,Cinderella,Future,2024-03-22,130,41,88,-8,15,2:50,43,89,49,4212
Switzerland,49,Home,Good Neighbours,2024-01-17,77,68,58,-4,13,2:37,3,89,44,504
Switzerland,50,Mockingbird,Eminem,2004-11-12,84,68,64,-4,25,4:11,21,87,45,2439
Iceland,1,i like the way you kiss me,Artemas,2024-03-19,152,95,60,-4,75,2:23,0,96,8,4572
Iceland,2,Like That,Future,2024-03-22,162,68,81,-5,31,4:28,1,95,1,7637
Iceland,3,Too Sweet,Hozier,2024-03-22,117,62,74,-6,93,4:11,3,83,9,1803
Iceland,4,CARNIVAL,¥$,2024-02-09,148,81,59,-6,31,4:24,19,96,2,2809
Iceland,5,Skína,PATRi!K,2023-07-21,123,69,69,-7,87,3:00,2,48,4,3337
Iceland,6,Dvel ég í draumahöll,Hafdís Huld,2012-06-04,120,15,73,-13,40,1:49,90,50,0,6769
Iceland,7,Hef Verið Verri,Herra Hnetusmjör,2024-03-22,82,34,72,-10,70,2:11,9,45,5,5364
Iceland,8,we can't be friends (wait for your love),Ariana Grande,2024-03-08,116,66,65,-8,29,3:49,7,95,11,5997
Iceland,9,Sama um,PATRi!K,2024-03-01,135,81,71,-6,61,2:14,6,48,43,1117
Iceland,10,End of Beginning,Djo,2022-09-16,160,45,69,-8,91,2:39,4,98,12,3739
Iceland,11,Beautiful Things,Benson Boone,2024-04-05,105,47,47,-6,22,3:00,15,77,13,2674
Iceland,12,Type Shit,Future,2024-03-22,145,55,64,-6,11,3:48,2,90,26,654
Iceland,13,BOSSED UP,Izleifur,2024-02-16,100,68,87,-6,52,1:44,16,47,15,2200
Iceland,14,Lose Control,Teddy Swims,2023-09-15,160,60,56,-4,24,3:31,20,93,16,4021
Iceland,15,TEXAS HOLD 'EM,Beyoncé,2024-03-29,110,71,73,-7,38,3:53,58,86,18,5264
Iceland,16,Hvert ertu að fara?,Háski,2024-02-02,134,76,83,-6,29,2:38,4,47,19,5929
Iceland,17,Litlar stjörnur,Hafdís Huld,2012-06-04,93,12,70,-12,55,2:32,91,47,3,2038
Iceland,18,Sofðu unga ástin mín,Hafdís Huld,2012-06-04,128,11,62,-11,39,2:13,93,46,7,5127
Iceland,19,Óskasteinar,Hafdís Huld,2012-06-04,80,10,70,-13,64,1:40,91,46,10,8149
Iceland,20,FE!N (feat. Playboi Carti),Travis Scott,2023-07-28,148,88,57,-3,20,3:12,3,93,20,8241
Iceland,21,Sofa urtubörn,Hafdís Huld,2012-06-04,120,9,72,-14,54,2:31,92,45,14,2502
Iceland,22,KOSS Á ÞIG (Áramótaskaup 2023),Herra Hnetusmjör,2024-01-01,160,66,83,-6,76,2:32,1,45,44,6505
Iceland,23,Ljós,Hafdís Huld,2012-06-04,146,9,74,-13,81,3:17,89,45,17,8489
Iceland,24,Prada,cassö,2023-08-11,142,72,64,-6,42,2:12,0,89,22,7962
Iceland,25,Bíum bíum bambaló,Hafdís Huld,2012-06-04,100,10,78,-14,64,2:55,93,45,21,3938
Iceland,26,Ævintýralönd,Hafdís Huld,2012-06-04,74,12,63,-15,35,3:11,92,45,25,5519
Iceland,27,Góða nótt,Hafdís Huld,2012-06-04,100,18,80,-12,64,2:12,95,44,28,97
Iceland,28,Elska,Daniil,2023-08-03,116,60,72,-8,8,2:38,1,42,23,5312
Iceland,29,greedy,Tate McRae,2023-09-15,111,73,75,-3,84,2:12,26,96,24,3042
Iceland,30,Bí bí og blaka,Hafdís Huld,2012-06-04,97,2,60,-17,29,2:04,95,44,32,4761
Iceland,31,Sofðu,Hafdís Huld,2012-06-04,126,12,68,-12,67,3:13,94,43,35,3359
Iceland,32,Unwritten,Natasha Bedingfield,2004-08-30,100,80,71,-6,63,4:19,1,92,27,7385
Iceland,33,Frost er úti fuglinn minn,Hafdís Huld,2012-06-04,114,12,50,-14,60,2:06,94,44,39,9847
Iceland,34,Nóttin læðist inn,Hafdís Huld,2012-06-04,120,12,72,-13,50,3:02,93,43,42,9162
Iceland,35,Bakka ekki út,Aron Can,2023-05-12,145,51,79,-9,32,2:44,14,43,29,125
Iceland,36,Krumla,ICEGUYS,2023-07-21,105,79,75,-4,42,3:15,2,44,30,1684
Iceland,37,Sólskin,Hafdís Huld,2012-06-04,85,15,75,-12,61,1:40,92,43,46,8307
Iceland,38,Þú ert,Hafdís Huld,2012-06-04,78,19,58,-14,30,2:15,83,43,49,8856
Iceland,39,Hvað með þig?,NUSSUN,2024-03-01,132,62,86,-8,65,2:29,7,43,31,2434
Iceland,40,ONE CALL,Rich Amiri,2023-11-17,158,54,65,-7,25,2:01,1,87,33,1356
Iceland,41,Engill,Floni,2024-02-23,120,64,67,-7,31,3:38,15,43,34,2019
Iceland,42,redrum,21 Savage,2024-01-12,172,74,62,-8,25,4:31,1,93,36,3811
Iceland,43,Sama Stað,JóiPé,2024-03-15,160,79,65,-8,83,2:47,7,42,6,236
Iceland,44,BURN,¥$,2024-02-09,105,89,60,-6,74,1:51,2,87,45,9566
Iceland,45,The Night We Met,Lord Huron,2015-04-07,87,37,55,-10,10,3:28,97,80,37,31
Iceland,46,Austin,Dasha,2024-02-16,115,67,76,-7,74,2:52,46,87,38,1922
Iceland,47,Ain't No Sunshine,Bill Withers,1971-05-01,78,42,53,-11,52,2:05,46,87,40,9466
Iceland,48,Í Fullri Hreinskilni,JóiPé,2024-03-15,128,79,73,-8,60,3:36,14,42,47,7281
Iceland,49,Stick Season,Noah Kahan,2022-10-14,118,49,66,-7,82,3:02,78,94,41,7739
Iceland,50,Cinderella,Future,2024-03-22,130,41,88,-8,15,2:50,43,89,48,8147
Netherlands,1,Sugardaddy,Roxy Dekker,2024-04-04,127,86,84,-4,79,2:12,22,72,0,993
Netherlands,2,Pretty Girls,Frenna,2024-03-14,188,61,65,-5,73,2:26,4,75,6,4742
Netherlands,3,Europapa,Joost,2024-02-29,160,94,71,-5,50,2:40,17,81,7,7510
Netherlands,4,TEXAS HOLD 'EM,Beyoncé,2024-03-29,110,71,73,-7,38,3:53,58,86,8,9749
Netherlands,5,i like the way you kiss me,Artemas,2024-03-19,152,95,60,-4,75,2:23,0,96,9,9900
Netherlands,6,Stumblin' In,CYRIL,2023-11-10,126,52,88,-8,37,3:33,6,87,10,1308
Netherlands,7,Satisfyer,Roxy Dekker,2023-11-10,124,64,79,-8,75,2:01,3,72,44,437
Netherlands,8,Beautiful Things,Benson Boone,2024-04-05,105,47,47,-6,22,3:00,15,77,1,1974
Netherlands,9,Entourage,Bankzitters,2024-03-15,128,80,84,-6,58,2:09,4,72,11,1179
Netherlands,10,Stick Season,Noah Kahan,2022-10-14,118,49,66,-7,82,3:02,78,94,12,7522
Netherlands,11,Austin,Dasha,2024-02-16,115,67,76,-7,74,2:52,46,87,13,5682
Netherlands,12,Too Sweet,Hozier,2024-03-22,117,62,74,-6,93,4:11,3,83,14,4818
Netherlands,13,Belong Together,Mark Ambor,2024-02-16,91,67,65,-5,64,2:28,49,86,2,6228
Netherlands,14,Alles Op Gevoel,FLEMMING,2024-01-04,135,75,62,-6,57,2:49,12,73,3,7637
Netherlands,15,It's Not Right But It's Okay,Mr. Belt & Wezol,2024-02-23,128,86,76,-5,62,2:32,1,76,15,7584
Netherlands,16,we can't be friends (wait for your love),Ariana Grande,2024-03-08,116,66,65,-8,29,3:49,7,95,16,3647
Netherlands,17,Stukje Van Mij,MEAU,2024-02-01,120,25,79,-11,44,3:26,72,71,17,7586
Netherlands,18,Scared To Start,Michael Marcagi,2024-01-12,148,55,53,-11,44,2:40,38,91,18,9013
Netherlands,19,Waterdicht,Hannah Mae,2023-10-20,119,33,69,-11,53,2:52,75,72,19,5464
